高管姓名,性别,年龄,股票代码,职位
王文京,男,53,600588,董事长,董事
许尚峰,男,58,600587,董事长,董事
王刚,男,58,600586,董事长,董事
高登榜,男,57,600585,董事长,执行董事
雷升逵,男,52,600608,董事长,董事
吕明方,男,61,600607,董事长,董事
张玉良,男,62,600606,董事长,董事
刘军,男,51,600617,董事长,董事
龚如杰,男,52,600616,董事长,董事
涂建敏,女,51,600615,董事长,董事
张朋起,男,50,600614,董事长,董事
张涛涛,男,38,600613,董事长,董事
董鑑华,男,53,600619,董事长,董事
黄岱列,男,59,600618,董事长,董事
石力华,男,62,600612,董事长,董事
苗华,男,58,600625,董事长,董事
赵文斌,男,44,600624,董事长,董事
刘训峰,男,53,600623,董事长,董事
陈爽,男,51,600622,董事长,董事
蔡小庆,男,54,600621,董事长,董事
王卫民,男,49,600630,董事长,董事
秦云,男,56,600629,董事长,董事
徐若海,男,56,600628,董事长,董事
须伟泉,男,57,600642,董事长,董事
朱旭东,男,54,600641,董事长,董事
李安民,男,49,600640,董事长,董事
王颖,女,52,600639,代董事长,副董事长,董事
程齐鸣,男,62,600638,董事长,董事
